date,level,storage,storage_pct,inflow,outflow,rainfall
2018-10-01,67.76,338.0,9.27,0.0,60.0,0.0
2018-10-02,67.7,333.0,9.14,0.0,60.0,0.0
2018-10-03,67.65,328.0,9.0,0.0,60.0,0.0
2018-10-04,67.59,323.0,8.86,0.0,61.0,3.0
2018-10-05,67.65,328.0,9.0,119.0,60.0,45.0
2018-10-06,67.71,334.0,9.16,111.0,42.0,22.0
2018-10-07,67.67,330.0,9.05,0.0,42.0,0.0
2018-10-08,67.64,327.0,8.97,0.0,42.0,0.0
2018-10-09,67.59,323.0,8.86,0.0,42.0,0.0
2018-10-10,67.56,320.0,8.78,0.0,42.0,0.0
2018-10-11,67.52,316.0,8.67,0.0,42.0,0.0
2018-10-12,67.48,313.0,8.59,0.0,42.0,0.0
2018-10-13,67.42,307.0,8.42,0.0,67.0,0.0
2018-10-14,67.37,303.0,8.31,0.0,47.0,0.0
2018-10-15,67.33,299.0,8.2,0.0,47.0,0.0
2018-10-16,67.28,295.0,8.09,0.0,47.0,0.0
2018-10-17,67.23,290.0,7.96,0.0,55.0,0.0
2018-10-18,67.18,286.0,7.85,0.0,50.0,5.0
2018-10-19,67.13,282.0,7.74,0.0,50.0,1.0
2018-10-20,67.09,278.0,7.63,0.0,50.0,3.0
2018-10-21,67.04,274.0,7.52,0.0,50.0,9.0
2018-10-22,66.99,270.0,7.41,0.0,50.0,0.0
2018-10-23,66.95,266.0,7.3,0.0,50.0,0.0
2018-10-24,66.9,262.0,7.19,0.0,46.0,0.0
2018-10-25,66.85,258.0,7.08,0.0,42.0,0.0
2018-10-26,66.8,254.0,6.97,0.0,42.0,0.0
2018-10-27,66.74,249.0,6.83,0.0,54.0,0.0
2018-10-28,66.69,245.0,6.72,0.0,42.0,0.0
2018-10-29,66.64,241.0,6.61,0.0,42.0,0.0
2018-10-30,66.61,238.0,6.53,0.0,42.0,0.0
2018-10-31,66.58,235.0,6.45,0.0,42.0,13.0
2018-11-01,66.54,232.0,6.36,0.0,37.0,35.0
2018-11-02,66.5,229.0,6.28,0.0,37.0,7.0
2018-11-03,66.45,225.0,6.17,0.0,43.0,0.0
2018-11-04,66.4,221.0,6.06,0.0,45.0,0.0
2018-11-05,66.34,217.0,5.95,0.0,45.0,3.0
2018-11-06,66.29,213.0,5.84,0.0,45.0,5.0
2018-11-07,66.24,209.0,5.73,0.0,45.0,0.0
2018-11-08,66.2,206.0,5.65,0.0,41.0,0.0
2018-11-09,66.15,202.0,5.54,0.0,41.0,0.0
2018-11-10,66.1,198.0,5.43,0.0,41.0,0.0
2018-11-11,66.05,195.0,5.35,0.0,41.0,0.0
2018-11-12,66.0,191.0,5.24,0.0,41.0,0.0
2018-11-13,65.96,188.0,5.16,0.0,41.0,0.0
2018-11-14,65.91,184.0,5.05,0.0,41.0,0.0
2018-11-15,65.85,180.0,4.94,0.0,41.0,1.0
2018-11-16,65.81,177.0,4.86,0.0,41.0,4.0
2018-11-17,65.75,173.0,4.75,0.0,41.0,3.0
2018-11-18,65.71,170.0,4.66,0.0,41.0,11.0
2018-11-19,65.65,166.0,4.55,0.0,41.0,0.0
2018-11-20,65.61,163.0,4.47,0.0,41.0,0.0
2018-11-21,65.82,178.0,4.88,218.0,45.0,45.0
2018-11-22,66.04,194.0,5.32,230.0,45.0,31.0
2018-11-23,66.2,206.0,5.65,179.0,41.0,21.0
2018-11-24,66.2,206.0,5.65,41.0,41.0,0.0
2018-11-25,66.16,203.0,5.57,0.0,37.0,0.0
2018-11-26,66.12,200.0,5.49,0.0,37.0,0.0
2018-11-27,66.08,197.0,5.4,0.0,37.0,0.0
2018-11-28,66.04,194.0,5.32,0.0,37.0,0.0
2018-11-29,66.0,191.0,5.24,0.0,37.0,0.0
2018-11-30,65.96,188.0,5.16,0.0,37.0,0.0
2018-12-01,65.92,185.0,5.08,0.0,37.0,0.0
2018-12-02,65.86,181.0,4.97,0.0,53.0,0.0
2018-12-03,65.82,178.0,4.88,0.0,37.0,0.0
2018-12-04,65.78,175.0,4.8,0.0,37.0,5.0
2018-12-05,65.74,172.0,4.72,0.0,37.0,13.0
2018-12-06,65.69,169.0,4.64,0.0,37.0,7.0
2018-12-07,65.65,166.0,4.55,0.0,37.0,0.0
2018-12-08,65.61,163.0,4.47,0.0,37.0,0.0
2018-12-09,65.57,160.0,4.39,0.0,37.0,0.0
2018-12-10,65.52,157.0,4.31,0.0,37.0,0.0
2018-12-11,65.48,154.0,4.22,0.0,37.0,0.0
2018-12-12,65.44,151.0,4.14,0.0,37.0,0.0
2018-12-13,65.4,148.0,4.06,0.0,37.0,0.0
2018-12-14,65.35,145.0,3.98,0.0,37.0,0.0
2018-12-15,65.28,141.0,3.87,0.0,45.0,0.0
2018-12-16,65.24,138.0,3.79,0.0,37.0,0.0
2018-12-17,65.2,135.0,3.7,0.0,33.0,0.0
2018-12-18,65.16,133.0,3.65,0.0,25.0,0.0
2018-12-19,65.12,130.0,3.57,0.0,33.0,0.0
2018-12-20,65.09,128.0,3.51,0.0,25.0,0.0
2018-12-21,65.06,126.0,3.46,0.0,25.0,0.0
2018-12-22,65.03,124.0,3.4,0.0,26.0,0.0
2018-12-23,64.99,122.0,3.35,0.0,24.0,6.0
2018-12-24,64.96,120.0,3.29,0.0,24.0,0.0
2018-12-25,64.9,116.0,3.18,0.0,43.0,0.0
2018-12-26,64.87,114.0,3.13,0.0,25.0,0.0
2018-12-27,64.84,112.0,3.07,0.0,25.0,0.0
2018-12-28,64.8,110.0,3.02,0.0,25.0,0.0
2018-12-29,64.76,108.0,2.96,0.0,27.0,0.0
2018-12-30,64.74,106.0,2.91,0.0,24.0,0.0
2018-12-31,64.71,104.0,2.85,0.0,24.0,0.0
